"name","url","notes","email","phone","contact","type_community","civic_taxonomy","district","neighborhood","categories","ownership","ethnicity","size_organization","address","zipcode","source"
"International District Housing Alliance","http://apialliance.org/","Improve quality of life for ID residents through community-building and outreach and housing-related services to low-income individuals and families","sharyne@apialliance.org","206-623-5132","Sharyne Shiu Thornton","Social justice","Housing","Downtown","International District","Service provider","Community group","Asian Pacific Islander",14,"606 Maynard Ave S, Suite 105",98104,"DON"
"International Drop In Center","http://idicseattle.com/","Provide advocacy, assistance and a caring venue for the elderly, first generation immigrants and families in need ",,"206-587-3735",,"RSJ","Education; Employment; Health; Housing; Immigration; Seniors","Greater Duwamish","Beacon Hill","Service provider","Nonprofit",,9,"7301 Beacon Ave S",98118,"DPR"
"International Rescue Committee","http://www.theirc.org/us-program/us-seattle-wa","Provides opportunities for refugees to thrive in America","Seattle@theIRC.org","206-623-2105",,"RSJ","Emergency","Downtown","International District","Service provider","Nonprofit",,"National","100 S King St Suite 570",98104,"DPR"
"International Special Review District Board","http://www.seattle.gov/neighborhoods/preservation/id.htm","Preserve the history and culture of the International District",,,,"Social justice","History","Downtown","International District","Service provider","Community group",,0,,98104,"DPR"
"Interracial Family Network","http://www.isomedia.com/homes/duncan/interracial.html","Support interracial families and their children","ifns@isomedia.com","206-329-5242; 206-854-3756","John Duncan","Youth & family","RSJ","Citywide",,"Service provider","Community group","Interracial",0,"PO Box 344, Auburn",98071,"DPR"
"Inverness Community Club",,"Serve the Inverness community","ken.sparks@smithbarney.com","206-524-6866","Ken Sparks","Community council","Neighborhood","Northeast","Inverness","Service provider","Community group",,,"8611 Inverness Dr NE",98115,"DON"
"Iraqi Community Center - Southwest Youth and Family Services","http://swyfs.org/family_center/#1_6","Provides advocacy and resettlement assistance for Iraqi refugees, including help finding housing, employment, education and other basic services","irqccs@yahoo.com","206-937-7680","Yahya Al-Sarib","RSJ","Education; Employment; Housing; Immigration","Delridge",,"Service provider","Nonprofit","Iraqi",8,"4555 Delridge Way SW",98106,"DPR"
"Islamic School of Seattle","http://www.islamicschoolofseattle.com/","Offers preschool through middle school education in a nurturing Islamic environment","office@islamicschoolofseattle.org","206-329-5735","Ann El-Moslimany","RSJ","Education","Central",,"Education","School","Muslim",6,"720 25th Avenue ",98122,"DON"
"Jack Straw Productions: Arts and Technology Programs","http://www.jackstraw.org/programs/ed/index.shtml","Provide education and opportunities in audio arts","education@jackstraw.org","206-634-0919",,"Youth & family","Arts","Citywide",,"Service provider","Nonprofit",,8,"4261 Roosevelt Way NE",98105,"DON"
"Jackson Park Community Council",,"Address community issues","khellum@msn.com","206-290-8245","Kathy Hellum","Community council","Neighborhood","North","Jackson Park","Advocacy","Community group",,0,,98125,"DON"
"Jackson Place Community Council","http://www.jacksonplace.org/","Support community in the Jackson Place neighborhood","contact@jacksonplace.org",,,"Community council","Neighborhood","Central","Jackson Place","Advocacy","Community group",,0,"c/o Seattle Neighborhood Service Center 2301 S. Jackson #208",91844,"DPR"
"Japanese American Citizens League","http://jaclseattle.org/","Seek justice and equality for Japanese Americans","Website","206-622-4098",,"RSJ","Social justice","Citywide",,"Advocacy","Nonprofit","Japanese",0,"316 Maynard S",98104,"DPR"
"Jefferson Park Alliance","http://www.jeffersonparkalliance.org/JPA.htm","Revitalize Jefferson Park in keeping with the Olmsted plan for Seattle","jpalliance@hotmail.com","206-323-1792",,"Environment","Parks","Greater Duwamish","Beacon Hill","Service provider","Community group",,,,98108,"DPR"
"Jewish Family Service","http://www.jfsseattle.org/","Deliver essential human services to alleviate suffering, sustain healthy relationships and support people in times of need","dwallace@jfsseattle.org","206-461-3240",,"Social justice","Education; Seniors; Emergency; Immigration","East","Capitol Hill","Service provider","Nonprofit","Jewish",200,"1601 16th Ave",98122,"DPR"
"Jewish Federation of Greater Seattle","https://www.jewishinseattle.org/","Ensure a vibrant and connected Jewish community through education, programs, and service","info@jewishinseattle.org","206-443-5400",,"RSJ","Community","Citywide",,"Service provider","Nonprofit","Jewish",34,"2031 Third Ave",98121,"DPR"
"Judkins Park Community Council",,"Address community issues","carter224@hotmail.com","206-324-4805",,"Community council","Neighborhood","Central","Judkins Park","Advocacy","Community group",,0,"2414 S Judkins St",98144,"DON"
"Junction Neighborhood Organization","www.wsjuno.com/ ","Address community issues","ericakarlovits@yahoo.com","206-923-5787","Erica Karlovits","Community council","Neighborhood","Southwest","Junction","Advocacy","Community group",,0,"4538-C 41st Ave SW",98116,"DON"
"Khmer Community of Seattle King County",,"Provide social services to Southeast Asian refugee and immigrants","lyvansawn@yahoo.com","206-762-3922",,"RSJ","Immigration","Delridge","White Center","Service provider","Community group","Cambodian",,"10025 16th Ave SW",98146,"DPR"
"Korean Community Counseling Center",,"Provide substance abuse and counseling services to the Korean community","jkrheell@hotmail.com;  kccc1983@aol.com","206-784-5691",,"RSJ","Health; Substance abuse","North",,"Service provider","Community group","Korean",,"302 N 78th St",98103,"DPR"
"Korean Women's Association","http://kwaoutreach.org/","Provides multi-cultural, multi-lingual social and human services to underserved populations ","luaprkwa@nwlink.com","206-624-6936 ",,"RSJ","Education; Employment; Immigration; Housing; Health","Citywide",,"Service provider","Nonprofit","Korean","Regional","409 Maynard Ave S Suite 205",98104,"DPR"
"Lake City Chamber of Commerce","http://lakecitychamber.org/","Promote business and community","chamber@lakecitychamber.org","206-363-3287 ","Diane Haugen","Business","Neighborhood","North","Lake City","Advocacy","Community group",,1,"12345 30th Avenue NE Suite F-G",98125,"DON"
"Lake City Community Center ",,"Provide community services and support","Gordy36@msn.com","206-362-4378",,"Community council","Neighborhood","North","Lake City","Service provider","Community group",,,"12531 28th Ave NE",98125,"DPR"
"Lake City Development Council","http://www.lakecitychamber.org/index.php/content/committees","Bring together ideas for growth, improvement, and safety in Lake City","build@joesimmons.com","206-362-7227","Joe Simmons","Community council","Neighborhood","North","Lake City","Advocacy","Community group",,0,"PO Box 27089",98125,"DPR"
"Lake City Homelessness Task Force",,"Support neighborhood solutions to end homelessness in Lake City","seattlesdr@gmail.com","206-361-4630","Melanie Neufeld","Social justice","Homelessness","North","Lake City","Service provider","Community group",,0,,98125,"DPR"
"Lake City Live","http://www.lakecitylive.net/","Provide community news and information","lakecitylive@gmail.com",,,"Media","Neighborhood","North","Lake City","Information","Media",,,,98125,"DOIT"
"Lake Union Association",,"Support the interests of Lake Union residents and users","margie@fremonttugboat.com","206-632-0152",,"Community council","Neighborhood","Lake Union","SLU","Advocacy","Community group",,0,"PO Box 31873",98103,"DPR"
"Lake Union District Council ","http://www.cityofseattle.net/neighborhoodcouncil/members.htm","Advise the city on budget issues and provide a forum for community discussion","fremontland@yahoo.com","206-632-0124","Suzie Burke","Community council","District","Lake Union",,"Advocacy","Community group",,0,"3401 Evanston Ave N Ste A",98103,"DON"
"Lakewood/Seward Park Community Club","http://www.lspcc.org/","Provide community services and forum for discussion","lwspna@gmail.com","206-722-9696",,"Community council","Neighborhood","Southeast","Seward Park","Service provider","Community group",,0,"4916 S. Angeline",98118,"DPR"
"Lambert House","http://lamberthouse.org/","Center for LGBT youth that encourages empowerment through the development of leadership, social and life skills","ken@lamberthouse.org","206-322-2515","Ken Shulman","Social justice","LGBT","East","Capitol Hill","Service provider","Community group",,6,"1818 15th Ave",98122,"DPR"
"Laurelhurst Blog","http://thelaurelhurstblog.blogspot.com/","Provide community news and information","laurelhurstblogger@gmail.com",,,"Media","Neighborhood","Northeast","Laurelhurst","Information","Media",,,,98105,"DOIT"
"Laurelhurst Community Club","http://www.laurelhurstcc.com/LCC/LCC.html","Identify and address community concerns and provide a forum to promote solutions","jeannieh@serv.net; laurelhurstnews@comcast.net","206-525-5135","Jeannie Hale ","Community council","Neighborhood","Northeast","Laurelhurst","Advocacy","Community group",,0,"4616 25th Ave NE",98105,"DON"
"League of Women Voters","http://www.seattlelwv.org/","Encourages informed and active participation in government, works to increase understanding of major public policy issues and influences public policy through education and advocacy","info@seattlelwv.org","206-329-4848",,"Social justice","Women; Social action","Citywide",,"Advocacy","Nonprofit",,"National","1620 18th Ave Suite 101",98122,"DPR"
"LELO (Legacy of Equality, Leadership, and Organizing)","http://www.lelo.org/","Advocate for racial and economic justice in workers' rights","lynn@lelo.org","206-860-1400","Lynn Domingo","RSJ","Social justice","Southeast","Rainier Valley","Advocacy","Nonprofit",,3,"3700 S Hudson St Unit C",98118,"DON"
"Leschi Community Council","http://groups.google.com/group/LeschiCC","Maintain the ethnic and economic diversity of the Leschi community","leschicc@gmail.com; barber-osa@comcast.net","206-422-9988",,"Community council","Neighborhood","Central","Leschi","Advocacy","Community group",,0,"315 29th Ave S",98144,"DON"
"Letitia Neighborhood Group",,"Address community issues","kshoffman@gmail.com",,"Kristin Hoffman","Community council","Neighborhood","Southeast","Rainier Beach","Advocacy","Community group",,0,"3860 Letitia Ave S",98118,"DON"
"Lettuce Link - Solid Ground","http://www.solid-ground.org/Programs/Nutrition/Lettuce/Pages/default.aspx","Provide sustainable gardening and nutrition information and opoprtunities for low-income families","lettucelink@solid-ground.org","206-694-6754 ",,"Youth & family","Environment; Health","Citywide",,"Service provider","Nonprofit",,20,"1501 N 45th St",98103,"DON"
"Licton Springs Community Council","http://www.lictonsprings.org/council/council.html","Address community issues in Licton Springs","lictonsprings@hotmail.com; dwillendorf@gmail.com","206-985-1235","Debra Willendorf","Community council","Neighborhood","Northwest","Aurora-Licton Springs","Advocacy","Community group",,0,"9736 Wallingford N",98103,"DON"
"Longfellow Creek Watershed Council","http://longfellowcreek.org/","Provides leadership in addressing watershed issues, cultivating partnerships, and sponsoring projects and events","lfcwebcurator@longfellowcreek.org; jaymirro@hotmail.com","206-615-1443","Jay Mirro","Environment","Neighborhood","Delridge","High Point","Advocacy","Community group",,0,"5401 25th Ave SW",98106,"DON"
"Loyal Heights Community Council","http://www.loyalheights.org/","Assess and address needs of community","loyal-heights-cc@hotmail.com",,"Jim Anderson","Community council","Neighborhood","Ballard","Loyal Heights","Advocacy","Community group",,0,,98117,"DPR"
"Lutheran Community Services NW","http://lcsnw.org/seattle/index.html","Provide counseling and social services to immigrants",,"206-694-5700","Janet St. Clair","RSJ","Abuse; Education; Emergency; Employment; Homelessness; Immigration; Seniors; Substance abuse ","Lake Union","SLU","Service provider","Nonprofit","Eastern European","Regional ","433 Minor Ave N",98109,"DON"
